"country","area","time","agri_emp","industry_emp","services_emp","agri_value_add","industry_value_add","services_value_add","gdp_growth","gdp_constant","gdp_per_capita_constant","gdp_ppp_constant","urban_population","rural_population","total_population","unemployment_total","unemployment_male","unemployment_female"
"BGR","East Europe","YR2010",6.820000172,32.97999954,60.20999908,4.033035106,23.7573249,59.49520309,1.541801443,47537505668,6272.135226,18160.60293,72.302,27.698,7395599,10.28,10.86,9.61
"BGR","East Europe","YR2011",6.78000021,31.45999908,61.77000046,4.661476517,25.03067818,57.58952856,2.10120575,48536366470,6461.114205,18661.47449,72.638,27.362,7348328,11.26,12.26,10.11
"BGR","East Europe","YR2012",6.440000057,31.31999969,62.24000168,4.429975085,25.38281963,57.18346602,0.754930386,48902782249,6521.820231,18911.57877,72.975,27.025,7305888,12.27,13.52,10.84
"BGR","East Europe","YR2013",6.659999847,30.19000053,63.15000153,4.516053998,23.51079779,58.1843325,-0.560493966,48628685105,6579.787074,18911.12047,73.313,26.687,7265115,12.94,13.9,11.84
"BGR","East Europe","YR2014",7.010000229,30.12000084,62.88000107,4.558575495,23.4435739,58.7293538,0.966869032,49098860803,6742.059072,19202.8033,73.651,26.349,7223938,11.42,12.31,10.4
"BGR","East Europe","YR2015",6.860000134,29.89999962,63.25,4.060689675,24.02253109,58.2883826,3.428054914,50781996713,7055.935673,19988.21864,73.99,26.01,7177991,9.14,9.78,8.42
"BGR","East Europe","YR2016",6.75,29.79000092,63.45999908,4.053153474,24.44924725,57.61131474,3.039825276,52325680685,7377.063449,20740.78877,74.329,25.671,7127822,7.58,8.1,6.97
"BGR","East Europe","YR2017",7.010000229,29.89999962,63.09000015,4.040907239,23.97582861,57.98226624,2.76217096,53771005441,7691.440566,21469.93915,74.669,25.331,7075947,6.16,6.35,5.95
"BGR","East Europe","YR2018",6.579999924,30.11000061,63.31000137,3.384615452,22.40471991,60.85524059,2.684576131,55214529018,7986.757435,22206.08428,75.008,24.992,7025037,5.21,5.69,4.65
"BGR","East Europe","YR2019",6.619999886,30.02000046,63.36000061,3.241381685,21.68523086,61.41550273,4.037592082,57443866470,8340.31469,23265.87011,75.347,24.653,6975761,4.23,4.54,3.87
"CZE","East Europe","YR2010",3.099999905,37.99000168,58.91999817,1.540596113,33.17075187,55.78816741,2.434902159,1.73e+11,16505.9537,33483.13759,73.255,26.745,10474410,7.28,6.38,8.46
"CZE","East Europe","YR2011",2.99000001,38.45000076,58.56000137,1.982510992,33.65057382,54.68230862,1.760359624,1.76e+11,16761.82731,34002.18978,73.185,26.815,10496088,6.71,5.8,7.9
"CZE","East Europe","YR2012",3.049999952,38.11999893,58.83000183,2.251185645,32.9223275,54.76513068,-0.785004299,1.75e+11,16606.99254,33688.09983,73.197,26.803,10510785,6.98,6.02,8.21
"CZE","East Europe","YR2013",3.029999971,37.50999832,59.45999908,2.364771166,32.64607051,54.61465657,-0.045903674,1.74e+11,16593.86423,33661.46842,73.29,26.71,10514272,6.95,5.9,8.29
"CZE","East Europe","YR2014",2.75,38.04000092,59.20999908,2.413452542,33.83935076,54.19329987,2.262102897,1.78e+11,16951.37912,34386.70491,73.384,26.616,10525347,6.11,5.1,7.4
