country,area,time,agri_emp,industry_emp,services_emp,agri_value_add,industry_value_add,services_value_add,gdp_growth,gdp_constant,gdp_per_capita_constant,gdp_ppp_constant,urban_population,rural_population,total_population,unemployment_total,unemployment_male,unemployment_female
BGR,East Europe,YR2010,0.192590126,0.747460699,0.486553763,0.574471901,0.305431554,0.588567987,0.485089619,0.008985461,0,0,0.461525009,0.538474991,0.085503652,0.343438538,0.382747069,0.297653355
BGR,East Europe,YR2011,0.191255014,0.677285239,0.525398416,0.678626845,0.364637749,0.520725007,0.534944358,0.009264108,0.002706927,0.010819781,0.469919552,0.530080448,0.084932573,0.384136213,0.441373534,0.318237958
BGR,East Europe,YR2012,0.179906544,0.670821739,0.537101632,0.640258879,0.381011017,0.506268975,0.414962789,0.009366326,0.003576477,0.01622251,0.47833908,0.52166092,0.084419857,0.426079734,0.494137353,0.348291478
BGR,East Europe,YR2013,0.187249661,0.618651879,0.559760989,0.654525196,0.29396896,0.541900329,0.297730697,0.009289862,0.004406792,0.01621261,0.486783591,0.513216409,0.08392728,0.453903654,0.510050251,0.389460683
BGR,East Europe,YR2014,0.198931917,0.61542013,0.55303787,0.66157251,0.290843299,0.561303364,0.433850999,0.009421025,0.006731169,0.022513515,0.495228102,0.504771898,0.083429823,0.390780731,0.443467337,0.330177028
BGR,East Europe,YR2015,0.193925238,0.605263102,0.56225099,0.57905524,0.317762656,0.545604565,0.653194642,0.009890562,0.011227124,0.039479984,0.503697597,0.496302403,0.082874739,0.296096346,0.337520938,0.248662001
BGR,East Europe,YR2016,0.190253671,0.600184677,0.567480051,0.577806225,0.337603372,0.521500606,0.618595182,0.010321196,0.015826945,0.055736934,0.512167091,0.487832909,0.08226865,0.231312292,0.267169179,0.188966653
BGR,East Europe,YR2017,0.198931917,0.605263102,0.558266931,0.575776591,0.315591164,0.534706668,0.593850318,0.010724392,0.020330069,0.071487973,0.52066157,0.47933843,0.08164195,0.172342193,0.193886097,0.146974063
BGR,East Europe,YR2018,0.184579437,0.614958439,0.563745048,0.467005855,0.242540449,0.636986012,0.58693498,0.011127085,0.024560175,0.087390111,0.529131065,0.470868935,0.081026909,0.132890365,0.166247906,0.093454096
BGR,East Europe,YR2019,0.185914549,0.610803307,0.564990049,0.44326696,0.209086883,0.656931628,0.707517277,0.011748994,0.029624514,0.110283506,0.53760056,0.46239944,0.080431608,0.092192691,0.118090452,0.061342116
CZE,East Europe,YR2010,0.068424564,0.978762739,0.45443223,0.161386702,0.743120921,0.456595636,0.564683756,0.04398517,0.146588777,0.330995966,0.485334533,0.514665467,0.122698625,0.218853821,0.195142379,0.250308769
